"group","exp_id","phase","checkpoint","voxel_size","n_offsets","feat_dim","prune_opa","add_opacity_dist","add_cov_dist","add_color_dist","iterations","export_min_opacity","export_n_cameras","export_visibility_n","export_sh_degree","train_antialiased","train_random_bkgd","hypothesis","expected_effect","priority"
"E_export","E1","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.10","20","0","0","False","False","Filter low-opacity floaters via min_opacity threshold","Peripheral sparkles and floaters reduced; center quality unchanged","P0"
"E_export","E2","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.20","20","0","0","False","False","Aggressive opacity threshold - only keep high-confidence Gaussians","More floaters removed; possible loss of fine detail at edges","P0"
"E_export","E3","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.05","20","5","0","False","False","Visibility filter: keep only Gaussians visible from 5+ training cameras","Star-burst artifacts from single-view floaters eliminated","P0"
"E_export","E4","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.05","20","10","0","False","False","Visibility filter: keep only Gaussians visible from 10+ training cameras","Stricter filter; non-training-view artifacts near zero, potential density loss","P0"
"E_export","E5","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.10","20","5","0","False","False","Combined: min_opacity=0.10 + visibility_n=5","Best of both filters; strongest artifact removal","P0"
"E_export","E6","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.05","20","0","1","False","False","Export + MLP-to-SH fitting (degree=1)","Fast SH approximation of view-dependent color; should reduce angle collapse without retraining","P0"
"E_export","E7","export_only","30k_fulltrain","0.01","10","128","0.003","False","False","False","30000","0.05","20","0","3","False","False","Export + MLP-to-SH fitting (degree=3)","More complete SH approximation of MLP color; highest export-side view robustness candidate","P0"
"T_train","T1","7k_probe","new","0.01","10","128","0.020","False","False","False","7000","0.05","20","0","0","False","False","Aggressive pruning during training (4x default) - fewer floaters from start","Cleaner geometry; side/back view quality improves","P1"
"T_train","T2","7k_probe","new","0.01","10","128","0.050","False","False","False","7000","0.05","20","0","0","False","False","Very aggressive pruning (10x default) - only high-confidence anchors survive","Minimal floaters; possible under-reconstruction of thin structures","P1"
"T_train","T3","7k_probe","new","0.01","5","128","0.005","False","False","False","7000","0.05","20","0","0","False","False","Half offsets per anchor - simpler, less likely to overfit to specific views","More generalizable Gaussians; slight quality drop expected","P1"
"T_train","T4","7k_probe","new","0.01","10","64","0.005","False","False","False","7000","0.05","20","0","0","False","False","Simpler MLP (feat_dim=64) - less view-dependent fitting","MLP generalizes better to unseen angles; slight offline LPIPS tradeoff","P1"
"T_train","T5","7k_probe","new","0.01","5","64","0.020","False","False","False","7000","0.05","20","0","0","False","False","Combined: fewer offsets + simpler MLP + more pruning","Maximum robustness; offline quality may drop to ~0.09-0.12 range","P1"
"T_train","T6","7k_probe","new","0.01","10","128","0.005","True","False","False","7000","0.05","20","0","0","False","False","add_opacity_dist=True - opacity also conditioned on distance","View-consistent opacity; Gaussians less likely to vanish/appear with angle change","P2"
"T_train","T7","7k_probe","new","0.01","10","128","0.005","True","True","False","7000","0.05","20","0","0","False","False","add_opacity_dist + add_cov_dist - both geometric properties distance-aware","More stable Gaussian shapes from non-training angles","P2"
"T_train","T8","7k_probe","new","0.01","20","128","0.005","False","False","False","7000","0.05","20","0","0","False","False","Double offsets per anchor (n_offsets=20) - more Gaussian capacity","Denser representation may cover more view angles per anchor","P2"
"T_train","T9","7k_probe","new","0.01","10","128","0.005","False","False","False","7000","0.05","20","0","0","True","False","Scaffold training with antialiased=True","Better raster robustness during training; may reduce view-dependent collapse before export","P1"
"T_train","T10","7k_probe","new","0.01","10","128","0.005","False","False","False","7000","0.05","20","0","0","False","True","Scaffold training with random_bkgd=True","Background randomization may discourage transparent floaters and improve unseen-angle stability","P1"
"C_arch","C1","7k_probe","new_code","0.01","10","128","0.005","False","False","False","7000","0.05","20","0","0","False","False","View-independent color MLP: remove view_dir from color head input","Colors consistent from all angles; sacrifices view-dependent shading quality","P2"
